ID	t24h	t30h	t36h	t48h	t72h
SAM23877_RS20820	6.357552005	8.383704292	8.224001674	9.658211483	7.64385619
SAM23877_RS21045	8.971543554	8.335390355	8.087462841	7.918863237	7.285402219
SAM23877_RS21050	8.784634846	8.06608919	7.894817763	7.839203788	6.614709844
SAM23877_RS21060	7.592457037	7.794415866	8.73470962	9.746514321	8.294620749
SAM23877_RS21080	13.50009495	13.4003458	13.1582941	12.18549492	11.46964182
SAM23877_RS21095	5.95419631	6.820178962	7.888743249	6.475733431	3.459431619
SAM23877_RS21115	11.4812949	11.169925	10.509775	10.5849625	10.36959735
SAM23877_RS21120	11.21492619	10.82495874	10.05934446	10.56224242	7.523561956
SAM23877_RS21140	10.20701432	9.330916878	9.098032083	8.915879379	9.46760555
SAM23877_RS21150	8.438791853	8.463524373	8.845490051	9.044394119	8.303780748
SAM23877_RS21175	14.59397462	13.19875197	12.07079181	12.63888838	14.93392113
SAM23877_RS21180	15.07405782	13.66611302	12.13699111	12.97924654	12.77746081
SAM23877_RS21195	17.07156711	16.15699159	14.72866458	14.23735936	12.91101741
SAM23877_RS21200	15.41788547	14.43664648	13.03789009	12.7225941	11.44863257
SAM23877_RS21205	14.75785875	13.98637538	13.10328781	14.65737428	15.00088028
SAM23877_RS21210	15.22678847	14.41739105	13.65731845	15.03887613	14.23519153
SAM23877_RS21225	14.79700284	14.40500847	13.04814625	12.61148594	13.78115477
SAM23877_RS21230	14.14792037	13.27233818	11.91438513	12.16270602	12.31543264
SAM23877_RS21235	16.25196313	15.49135207	14.14942959	14.26781082	13.6144798
SAM23877_RS21325	14.39178061	14.02106672	12.50581155	12.6570951	13.81918118
SAM23877_RS21330	14.36946103	13.62479546	11.97297979	12.95819018	12.5844928
SAM23877_RS21335	13.47307151	12.83644491	11.28077077	12.2644426	12.07012094
SAM23877_RS21340	13.05680704	12.45481335	10.99576715	11.92184094	12.68606275
SAM23877_RS21345	13.71102162	13.25900761	11.96144969	12.77951418	12.72067179
